Unnamed: 0,domain,phylum,class,order,family,genus,species,Breast (N),Breast (NAT),Breast (T),Lung (NAT),Lung (T),Melanoma (T),Pancreas (T),Ovary (N+NAT),Ovary (T),Bone (T),GBM (T),Colon (NAT),Colon (T)
218,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces cardiffensis,0,0,0,0,0,0,0,0,0,0,0,0,1
219,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces dentalis,0,0,1,0,0,0,1,0,0,0,0,0,0
224,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii,0,0,1,0,0,0,0,0,0,0,0,0,0
225,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis,0,0,1,0,0,0,0,0,0,1,0,0,0
227,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,0,1,1,0,0,0,0,0,0,0,0,1,0
229,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,0,1,1,0,0,0,0,0,0,0,0,1,1
230,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris,0,0,1,0,0,0,0,0,0,0,0,0,0
233,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,0,0,1,0,0,0,0,0,0,0,0,0,0
369,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii,0,0,0,0,0,0,0,0,0,0,0,1,0
422,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas hominis,0,0,1,0,0,0,0,0,0,0,0,0,0
425,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas xylanilytica,0,1,1,0,0,0,0,0,0,0,0,0,0
426,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Tropheryma,Tropheryma whipplei,0,0,0,1,0,0,0,0,0,0,0,0,0
932,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium accolens,0,0,1,0,0,0,0,0,0,0,0,0,0
939,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium aurimucosum,0,0,1,0,0,0,0,0,0,0,0,0,0
