Unnamed: 0,domain,phylum,class,order,family,genus,species,Breast (N),Breast (NAT),Breast (T),Lung (NAT),Lung (T),Melanoma (T),Pancreas (T),Ovary (N+NAT),Ovary (T),Bone (T),GBM (T),Colon (NAT),Colon (T),row_sum
218,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces cardiffensis,0,0,0,0,0,0,0,0,0,0,0,0,1,1
219,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces dentalis,0,0,1,0,0,0,1,0,0,0,0,0,0,2
224,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii,0,0,1,0,0,0,0,0,0,0,0,0,0,1
225,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis,0,0,1,0,0,0,0,0,0,1,0,0,0,2
227,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,0,1,1,0,0,0,0,0,0,0,0,1,0,3
229,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,0,1,1,0,0,0,0,0,0,0,0,1,1,4
230,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris,0,0,1,0,0,0,0,0,0,0,0,0,0,1
233,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,0,0,1,0,0,0,0,0,0,0,0,0,0,1
253,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Unknown species199,0,0,0,0,0,0,0,0,0,0,0,1,0,1
262,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Unknown species255,0,0,1,0,0,0,0,0,0,0,0,0,0,1
280,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Unknown species322,0,0,1,0,0,0,0,0,0,0,0,0,0,1
281,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Unknown species324,0,1,1,0,0,0,0,0,0,0,0,0,0,2
298,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Unknown species381,0,0,1,0,0,0,0,0,0,0,0,0,0,1
313,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Unknown species441,0,0,1,0,0,0,0,0,0,0,0,0,0,1
320,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Unknown species452,0,0,0,0,0,0,0,0,0,0,0,0,1,1
339,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Unknown species507,0,0,1,0,0,0,0,0,0,0,0,0,0,1
369,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii,0,0,0,0,0,0,0,0,0,0,0,1,0,1
375,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Unknown species26,0,0,1,0,0,0,0,0,0,0,0,0,0,1
422,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas hominis,0,0,1,0,0,0,0,0,0,0,0,0,0,1
425,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas xylanilytica,0,1,1,0,0,0,0,0,0,0,0,0,0,2
426,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Tropheryma,Tropheryma whipplei,0,0,0,1,0,0,0,0,0,0,0,0,0,1
431,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species103,0,0,1,0,0,0,0,0,0,0,0,0,0,1
434,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species105,0,1,1,0,0,0,0,0,0,0,0,0,0,2
436,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1061,0,0,0,0,1,1,0,0,0,0,0,0,0,2
442,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1091,0,0,1,0,0,0,0,0,0,0,0,0,0,1
444,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1106,0,1,0,0,0,0,0,0,0,0,0,0,0,1
449,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1124,0,0,1,0,0,0,0,0,0,0,0,0,0,1
454,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1150,0,1,1,1,0,0,0,0,0,0,0,0,0,3
460,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1193,0,0,1,0,0,0,0,0,0,0,0,0,0,1
482,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1299,0,0,1,0,0,0,0,0,0,0,0,0,0,1
486,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1338,0,0,1,0,0,0,0,0,0,0,0,0,0,1
527,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1534,0,0,0,0,0,0,0,0,0,1,0,0,0,1
545,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1626,0,0,1,1,1,0,0,0,0,0,0,0,0,3
551,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1652,0,0,1,0,0,0,0,0,0,0,0,0,0,1
561,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1668,0,1,1,0,0,0,0,0,0,0,0,0,0,2
562,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1673,0,0,1,0,0,0,0,0,0,0,0,0,0,1
564,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1675,0,0,1,0,0,0,0,0,0,0,0,0,0,1
581,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1703,0,0,1,0,0,0,0,0,0,0,0,0,0,1
585,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1709,0,0,1,0,0,0,0,0,0,0,0,0,0,1
587,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1715,1,0,1,1,1,0,0,0,0,0,0,0,0,4
591,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1722,0,1,1,0,0,0,0,0,0,0,0,0,0,2
598,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1736,0,0,1,0,0,0,0,0,0,0,0,0,0,1
600,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1740,1,1,1,0,0,0,0,0,0,0,0,0,0,3
607,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1755,0,1,1,0,1,0,0,0,0,0,0,0,0,3
608,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1758,0,0,1,0,0,0,0,0,0,0,0,0,0,1
623,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1782,0,1,1,0,0,0,0,0,0,0,0,0,0,2
644,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1834,0,0,1,0,0,0,0,0,0,0,0,0,0,1
648,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1838,0,0,1,0,0,0,0,0,0,0,0,0,0,1
653,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1846,0,0,0,1,0,0,0,0,0,0,0,0,0,1
667,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1880,0,0,1,0,0,0,0,0,0,0,0,0,0,1
668,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1883,1,1,1,0,0,0,0,0,0,0,0,0,0,3
680,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1914,0,1,0,0,0,0,0,0,0,0,0,0,0,1
690,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1936,0,0,1,0,0,0,0,0,0,0,0,0,0,1
692,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species194,0,0,1,0,0,0,0,0,0,0,0,0,0,1
700,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1958,0,0,0,1,1,0,0,0,0,0,0,0,0,2
708,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species1982,0,0,1,0,0,0,0,0,0,0,0,0,0,1
718,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Unknown species2024,0,0,1,0,0,0,0,0,0,0,0,0,0,1
