Feature ID	Taxon	Confidence
Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas_Pseudoalteromonas_atlantica_0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas	1
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_S24-7_Assigned_genus699_Assigned_species1_1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	0.998368192
Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter_Psychrobacter_cibarius_2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter; s__Psychrobacter_cibarius	0.801955055
Bacteria_Chloroflexi_Anaerolineae_S0208_Unknown_family_Assigned_genus65_Assigned_species9_3	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenticatenales; f__uncultured; g__uncultured; s__uncultured_organism	0.999995998
Bacteria_Fusobacteria_Fusobacteriia_Fusobacteriales_Leptotrichiaceae_Leptotrichia_Assigned_species4_4	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__uncultured_bacterium	0.924933693
Bacteria_Bacteroidetes_Cytophagia_Cytophagales_Cytophagaceae_Assigned_genus170_Assigned_species1_5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured; s__uncultured_bacterium	0.99723089
Bacteria_Firmicutes_Clostridia_Clostridiales_Veillonellaceae_Megamonas_Megamonas_hypermegale_6	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Selenomonadaceae; g__Megamonas; s__Megamonas_hypermegale	0.999895207
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_Assigned_species1280_7	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.999975157
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_Assigned_species433_8	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.999931304
Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Succinivibrionaceae_Ruminobacter_Assigned_species15_9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Ruminobacter; s__uncultured_Succinivibrionaceae	0.994995098
Bacteria_Proteobacteria_Gammaproteobacteria_Chromatiales_Chromatiaceae_Thiohalocapsa_Thiohalocapsa_halophila_10	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thiohalocapsa; s__uncultured_organism	0.933999134
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_11	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.983822452
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_12	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.99999999
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_13	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.903559684
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_14	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.851814799
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_15	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.894446696
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_16	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.81999647
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_17	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.857199244
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_18	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.931165215
