index,ID,Breast (NAT)_sum,Breast (N)_sum,Breast (N-FA)_sum,Breast (T)_sum,Lung (NAT)_sum,Lung (T)_sum,Melanoma (T)_sum,Pancreas (T)_sum,Ovary (NAT)_sum,Ovary (N- fallop)_sum,Ovary (T)_sum,Colon (NAT)_sum,Colon (T)_sum,Bone (T)_sum,GBM (T)_sum
0,Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobrevibacter_Methanobrevibacter smithii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Acidobacteria_Acidobacteria-6_CCU21_Unknown family_Unknown genus26_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Acidobacteria_Acidobacteria-6_CCU21_Unknown family_Unknown genus40_Unknown species3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Acidobacteria_Acidobacteria-6_CCU21_Unknown family_Unknown genus81_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Acidobacteria_Acidobacteria-6_iii1-15_RB40_Unknown genus59_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Acidobacteria_Acidobacteria-6_iii1-15_Unknown family_Unknown genus313_Unknown species3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Acidobacteria_Acidobacteria-6_iii1-15_Unknown family_Unknown genus504_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Acidobacteria_Acidobacteria-6_iii1-15_Unknown family_Unknown genus518_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Acidobacteria_Acidobacteria-6_iii1-15_Unknown family_Unknown genus546_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Acidobacteria_Acidobacteria-6_iii1-15_Unknown family_Unknown genus572_Unknown species3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Acidobacteria_Acidobacteria-6_iii1-15_Unknown family_Unknown genus600_Unknown species2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Acidobacteria_Acidobacteria-6_iii1-15_Unknown family_Unknown genus653_Unknown species7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Unknown genus10_Unknown species3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Unknown genus126_Unknown species5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Unknown genus149_Unknown species2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Edaphobacter_Unknown species73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Edaphobacter_Unknown species87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Edaphobacter_Unknown species99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Acidobacteria_Acidobacteriia_Acidobacteriales_Koribacteraceae_Unknown genus138_Unknown species6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Acidobacteria_Acidobacteriia_Acidobacteriales_Koribacteraceae_Unknown genus28_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Acidobacteria_Acidobacteriia_Acidobacteriales_Koribacteraceae_Unknown genus71_Unknown species10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Acidobacteria_Chloracidobacteria_RB41_Ellin6075_Unknown genus138_Unknown species4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Acidobacteria_Chloracidobacteria_RB41_Ellin6075_Unknown genus36_Unknown species4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Acidobacteria_Chloracidobacteria_RB41_Ellin6075_Unknown genus9_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Acidobacteria_Chloracidobacteria_RB41_Unknown family_Unknown genus169_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Acidobacteria_Chloracidobacteria_RB41_Unknown family_Unknown genus20_Unknown species2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Acidobacteria_Chloracidobacteria_RB41_Unknown family_Unknown genus253_Unknown species3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Acidobacteria_Chloracidobacteria_RB41_Unknown family_Unknown genus263_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Acidobacteria_Chloracidobacteria_RB41_Unknown family_Unknown genus37_Unknown species5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Acidobacteria_Chloracidobacteria_RB41_Unknown family_Unknown genus70_Unknown species2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
